driver,step,n,event
LAW,no_pits,38,2025 Belgian Grand Prix
LEC,no_pits,38,2025 Belgian Grand Prix
NOR,no_pits,37,2025 Belgian Grand Prix
OCO,no_pits,38,2025 Belgian Grand Prix
PIA,no_pits,38,2025 Belgian Grand Prix
RUS,no_pits,38,2025 Belgian Grand Prix
SAI,no_pits,34,2025 Belgian Grand Prix
STR,no_pits,38,2025 Belgian Grand Prix
TSU,no_pits,37,2025 Belgian Grand Prix
VER,no_pits,38,2025 Belgian Grand Prix
ALB,bounds,37,2025 Belgian Grand Prix
ALO,bounds,35,2025 Belgian Grand Prix
ANT,bounds,35,2025 Belgian Grand Prix
BEA,bounds,38,2025 Belgian Grand Prix
BOR,bounds,37,2025 Belgian Grand Prix
COL,bounds,34,2025 Belgian Grand Prix
GAS,bounds,37,2025 Belgian Grand Prix
HAD,bounds,33,2025 Belgian Grand Prix
HAM,bounds,38,2025 Belgian Grand Prix
HUL,bounds,36,2025 Belgian Grand Prix
LAW,bounds,38,2025 Belgian Grand Prix
LEC,bounds,38,2025 Belgian Grand Prix
NOR,bounds,37,2025 Belgian Grand Prix
OCO,bounds,38,2025 Belgian Grand Prix
PIA,bounds,38,2025 Belgian Grand Prix
RUS,bounds,38,2025 Belgian Grand Prix
SAI,bounds,34,2025 Belgian Grand Prix
STR,bounds,38,2025 Belgian Grand Prix
TSU,bounds,37,2025 Belgian Grand Prix
VER,bounds,38,2025 Belgian Grand Prix
ALB,no_sc_vsc,37,2025 Belgian Grand Prix
ALO,no_sc_vsc,35,2025 Belgian Grand Prix
ANT,no_sc_vsc,35,2025 Belgian Grand Prix
BEA,no_sc_vsc,38,2025 Belgian Grand Prix
BOR,no_sc_vsc,37,2025 Belgian Grand Prix
COL,no_sc_vsc,34,2025 Belgian Grand Prix
GAS,no_sc_vsc,37,2025 Belgian Grand Prix
HAD,no_sc_vsc,33,2025 Belgian Grand Prix
HAM,no_sc_vsc,38,2025 Belgian Grand Prix
HUL,no_sc_vsc,36,2025 Belgian Grand Prix
LAW,no_sc_vsc,38,2025 Belgian Grand Prix
LEC,no_sc_vsc,38,2025 Belgian Grand Prix
NOR,no_sc_vsc,37,2025 Belgian Grand Prix
OCO,no_sc_vsc,38,2025 Belgian Grand Prix
PIA,no_sc_vsc,38,2025 Belgian Grand Prix
RUS,no_sc_vsc,38,2025 Belgian Grand Prix
SAI,no_sc_vsc,34,2025 Belgian Grand Prix
STR,no_sc_vsc,38,2025 Belgian Grand Prix
TSU,no_sc_vsc,37,2025 Belgian Grand Prix
VER,no_sc_vsc,38,2025 Belgian Grand Prix
ALB,trimmed,33,2025 Belgian Grand Prix
ALO,trimmed,31,2025 Belgian Grand Prix
ANT,trimmed,31,2025 Belgian Grand Prix
BEA,trimmed,34,2025 Belgian Grand Prix
BOR,trimmed,33,2025 Belgian Grand Prix
COL,trimmed,30,2025 Belgian Grand Prix
GAS,trimmed,33,2025 Belgian Grand Prix
HAD,trimmed,29,2025 Belgian Grand Prix
HAM,trimmed,34,2025 Belgian Grand Prix
HUL,trimmed,32,2025 Belgian Grand Prix
LAW,trimmed,34,2025 Belgian Grand Prix
LEC,trimmed,34,2025 Belgian Grand Prix
NOR,trimmed,33,2025 Belgian Grand Prix
OCO,trimmed,34,2025 Belgian Grand Prix
PIA,trimmed,34,2025 Belgian Grand Prix
RUS,trimmed,34,2025 Belgian Grand Prix
SAI,trimmed,30,2025 Belgian Grand Prix
STR,trimmed,34,2025 Belgian Grand Prix
TSU,trimmed,33,2025 Belgian Grand Prix
VER,trimmed,34,2025 Belgian Grand Prix
ALB,raw,52,2025 British Grand Prix
ALO,raw,52,2025 British Grand Prix
ANT,raw,23,2025 British Grand Prix
BEA,raw,52,2025 British Grand Prix
BOR,raw,4,2025 British Grand Prix
COL,raw,1,2025 British Grand Prix
GAS,raw,52,2025 British Grand Prix
HAD,raw,18,2025 British Grand Prix
HAM,raw,52,2025 British Grand Prix
HUL,raw,52,2025 British Grand Prix
LAW,raw,1,2025 British Grand Prix
LEC,raw,52,2025 British Grand Prix
NOR,raw,52,2025 British Grand Prix
OCO,raw,52,2025 British Grand Prix
PIA,raw,52,2025 British Grand Prix
RUS,raw,52,2025 British Grand Prix
SAI,raw,52,2025 British Grand Prix
STR,raw,52,2025 British Grand Prix
TSU,raw,51,2025 British Grand Prix
VER,raw,52,2025 British Grand Prix
ALB,accurate_valid,33,2025 British Grand Prix
ALO,accurate_valid,32,2025 British Grand Prix
ANT,accurate_valid,4,2025 British Grand Prix
BEA,accurate_valid,32,2025 British Grand Prix
GAS,accurate_valid,32,2025 British Grand Prix
HAD,accurate_valid,4,2025 British Grand Prix
HAM,accurate_valid,31,2025 British Grand Prix
HUL,accurate_valid,32,2025 British Grand Prix
LEC,accurate_valid,32,2025 British Grand Prix
NOR,accurate_valid,33,2025 British Grand Prix
OCO,accurate_valid,34,2025 British Grand Prix
PIA,accurate_valid,31,2025 British Grand Prix
RUS,accurate_valid,33,2025 British Grand Prix
SAI,accurate_valid,31,2025 British Grand Prix
STR,accurate_valid,32,2025 British Grand Prix
TSU,accurate_valid,31,2025 British Grand Prix
VER,accurate_valid,32,2025 British Grand Prix
ALB,no_pits,33,2025 British Grand Prix
ALO,no_pits,32,2025 British Grand Prix
ANT,no_pits,4,2025 British Grand Prix
BEA,no_pits,32,2025 British Grand Prix
GAS,no_pits,32,2025 British Grand Prix
HAD,no_pits,4,2025 British Grand Prix
HAM,no_pits,31,2025 British Grand Prix
HUL,no_pits,32,2025 British Grand Prix
LEC,no_pits,32,2025 British Grand Prix
NOR,no_pits,33,2025 British Grand Prix
OCO,no_pits,34,2025 British Grand Prix
PIA,no_pits,31,2025 British Grand Prix
