driver,step,n,event
ALO,soft_only,5,2025 British Grand Prix
ANT,soft_only,6,2025 British Grand Prix
BEA,soft_only,6,2025 British Grand Prix
BOR,soft_only,3,2025 British Grand Prix
COL,soft_only,4,2025 British Grand Prix
GAS,soft_only,9,2025 British Grand Prix
HAD,soft_only,4,2025 British Grand Prix
HAM,soft_only,7,2025 British Grand Prix
HUL,soft_only,3,2025 British Grand Prix
LAW,soft_only,2,2025 British Grand Prix
LEC,soft_only,9,2025 British Grand Prix
NOR,soft_only,8,2025 British Grand Prix
OCO,soft_only,4,2025 British Grand Prix
PIA,soft_only,7,2025 British Grand Prix
RUS,soft_only,7,2025 British Grand Prix
SAI,soft_only,4,2025 British Grand Prix
STR,soft_only,3,2025 British Grand Prix
TSU,soft_only,5,2025 British Grand Prix
VER,soft_only,6,2025 British Grand Prix
ALB,bounds,4,2025 British Grand Prix
ALO,bounds,5,2025 British Grand Prix
ANT,bounds,6,2025 British Grand Prix
BEA,bounds,6,2025 British Grand Prix
BOR,bounds,3,2025 British Grand Prix
COL,bounds,4,2025 British Grand Prix
GAS,bounds,9,2025 British Grand Prix
HAD,bounds,4,2025 British Grand Prix
HAM,bounds,7,2025 British Grand Prix
HUL,bounds,3,2025 British Grand Prix
LAW,bounds,2,2025 British Grand Prix
LEC,bounds,9,2025 British Grand Prix
NOR,bounds,8,2025 British Grand Prix
OCO,bounds,4,2025 British Grand Prix
PIA,bounds,7,2025 British Grand Prix
RUS,bounds,7,2025 British Grand Prix
SAI,bounds,4,2025 British Grand Prix
STR,bounds,3,2025 British Grand Prix
TSU,bounds,5,2025 British Grand Prix
VER,bounds,6,2025 British Grand Prix
ALB,trimmed,4,2025 British Grand Prix
ALO,trimmed,3,2025 British Grand Prix
ANT,trimmed,4,2025 British Grand Prix
BEA,trimmed,4,2025 British Grand Prix
BOR,trimmed,3,2025 British Grand Prix
COL,trimmed,4,2025 British Grand Prix
GAS,trimmed,7,2025 British Grand Prix
HAD,trimmed,4,2025 British Grand Prix
HAM,trimmed,5,2025 British Grand Prix
HUL,trimmed,3,2025 British Grand Prix
LAW,trimmed,2,2025 British Grand Prix
LEC,trimmed,7,2025 British Grand Prix
NOR,trimmed,6,2025 British Grand Prix
OCO,trimmed,4,2025 British Grand Prix
PIA,trimmed,5,2025 British Grand Prix
RUS,trimmed,5,2025 British Grand Prix
SAI,trimmed,4,2025 British Grand Prix
STR,trimmed,3,2025 British Grand Prix
TSU,trimmed,3,2025 British Grand Prix
VER,trimmed,4,2025 British Grand Prix
ALB,raw,18,2025 Austrian Grand Prix
ALO,raw,14,2025 Austrian Grand Prix
ANT,raw,17,2025 Austrian Grand Prix
BEA,raw,15,2025 Austrian Grand Prix
BOR,raw,21,2025 Austrian Grand Prix
COL,raw,15,2025 Austrian Grand Prix
GAS,raw,21,2025 Austrian Grand Prix
HAD,raw,12,2025 Austrian Grand Prix
HAM,raw,21,2025 Austrian Grand Prix
HUL,raw,9,2025 Austrian Grand Prix
LAW,raw,17,2025 Austrian Grand Prix
LEC,raw,21,2025 Austrian Grand Prix
NOR,raw,18,2025 Austrian Grand Prix
OCO,raw,9,2025 Austrian Grand Prix
PIA,raw,19,2025 Austrian Grand Prix
RUS,raw,18,2025 Austrian Grand Prix
SAI,raw,12,2025 Austrian Grand Prix
STR,raw,9,2025 Austrian Grand Prix
TSU,raw,6,2025 Austrian Grand Prix
VER,raw,18,2025 Austrian Grand Prix
ALB,accurate_valid,5,2025 Austrian Grand Prix
ALO,accurate_valid,4,2025 Austrian Grand Prix
ANT,accurate_valid,5,2025 Austrian Grand Prix
BEA,accurate_valid,5,2025 Austrian Grand Prix
BOR,accurate_valid,7,2025 Austrian Grand Prix
COL,accurate_valid,4,2025 Austrian Grand Prix
GAS,accurate_valid,6,2025 Austrian Grand Prix
HAD,accurate_valid,4,2025 Austrian Grand Prix
HAM,accurate_valid,7,2025 Austrian Grand Prix
HUL,accurate_valid,3,2025 Austrian Grand Prix
LAW,accurate_valid,5,2025 Austrian Grand Prix
LEC,accurate_valid,7,2025 Austrian Grand Prix
NOR,accurate_valid,6,2025 Austrian Grand Prix
OCO,accurate_valid,3,2025 Austrian Grand Prix
PIA,accurate_valid,7,2025 Austrian Grand Prix
RUS,accurate_valid,6,2025 Austrian Grand Prix
SAI,accurate_valid,4,2025 Austrian Grand Prix
STR,accurate_valid,3,2025 Austrian Grand Prix
TSU,accurate_valid,2,2025 Austrian Grand Prix
VER,accurate_valid,6,2025 Austrian Grand Prix
ALB,soft_only,4,2025 Austrian Grand Prix
ALO,soft_only,3,2025 Austrian Grand Prix
ANT,soft_only,4,2025 Austrian Grand Prix
BEA,soft_only,5,2025 Austrian Grand Prix
BOR,soft_only,6,2025 Austrian Grand Prix
COL,soft_only,4,2025 Austrian Grand Prix
GAS,soft_only,5,2025 Austrian Grand Prix
HAD,soft_only,3,2025 Austrian Grand Prix
HAM,soft_only,7,2025 Austrian Grand Prix
HUL,soft_only,3,2025 Austrian Grand Prix
LAW,soft_only,5,2025 Austrian Grand Prix
LEC,soft_only,6,2025 Austrian Grand Prix
NOR,soft_only,6,2025 Austrian Grand Prix
OCO,soft_only,3,2025 Austrian Grand Prix
PIA,soft_only,7,2025 Austrian Grand Prix
RUS,soft_only,6,2025 Austrian Grand Prix
SAI,soft_only,4,2025 Austrian Grand Prix
STR,soft_only,3,2025 Austrian Grand Prix
TSU,soft_only,2,2025 Austrian Grand Prix
VER,soft_only,5,2025 Austrian Grand Prix
ALB,bounds,4,2025 Austrian Grand Prix
ALO,bounds,3,2025 Austrian Grand Prix
ANT,bounds,4,2025 Austrian Grand Prix
BEA,bounds,5,2025 Austrian Grand Prix
BOR,bounds,6,2025 Austrian Grand Prix
COL,bounds,4,2025 Austrian Grand Prix
GAS,bounds,5,2025 Austrian Grand Prix
HAD,bounds,3,2025 Austrian Grand Prix
HAM,bounds,7,2025 Austrian Grand Prix
HUL,bounds,3,2025 Austrian Grand Prix
LAW,bounds,5,2025 Austrian Grand Prix
LEC,bounds,6,2025 Austrian Grand Prix
NOR,bounds,6,2025 Austrian Grand Prix
OCO,bounds,3,2025 Austrian Grand Prix
PIA,bounds,7,2025 Austrian Grand Prix
RUS,bounds,6,2025 Austrian Grand Prix
SAI,bounds,4,2025 Austrian Grand Prix
STR,bounds,3,2025 Austrian Grand Prix
TSU,bounds,2,2025 Austrian Grand Prix
VER,bounds,5,2025 Austrian Grand Prix
ALB,trimmed,4,2025 Austrian Grand Prix
ALO,trimmed,3,2025 Austrian Grand Prix
ANT,trimmed,4,2025 Austrian Grand Prix
BEA,trimmed,3,2025 Austrian Grand Prix
BOR,trimmed,4,2025 Austrian Grand Prix
COL,trimmed,4,2025 Austrian Grand Prix
GAS,trimmed,3,2025 Austrian Grand Prix
HAD,trimmed,3,2025 Austrian Grand Prix
